id	hide	suspend	close	output_reconnect	topology_shrink	theme	locale	font	application_replace	fixture_teardown
frame_build_scratch	na	na	drop_owner	na	na	rebuild	rebuild	rebuild	drop_owner	drop_owner
semantic_query_index	na	na	drop_owner	na	na	rebuild	rebuild	rebuild	drop_owner	drop_owner
plain_text_measure	retain	clear	drop_owner	retain	retain	clear	clear	clear	drop_owner	drop_owner
styled_text_measure	retain	clear	drop_owner	retain	retain	clear	clear	clear	drop_owner	drop_owner
software_text_raster	clear	clear	drop_owner	clear	clear	clear	clear	clear	drop_owner	drop_owner
software_glyph_raster	clear	clear	drop_owner	clear	clear	clear	clear	clear	drop_owner	drop_owner
shared_cpu_text_rasters	retain	clear	drop_owner	retain	retain	clear	clear	clear	drop_owner	drop_owner
shared_decoded_images	retain	clear	drop_owner	reconcile	reconcile	clear	retain	retain	replace	drop_owner
shared_scaled_images	retain	clear	drop_owner	reconcile	reconcile	clear	retain	retain	replace	drop_owner
native_text_layout	clear	clear	drop_owner	clear	clear	clear	clear	clear	drop_owner	drop_owner
native_glyph_atlas	clear	clear	drop_owner	clear	clear	retain	retain	clear	drop_owner	drop_owner
native_image_textures	clear	clear	drop_owner	clear	clear	clear	retain	retain	replace	drop_owner
shell_presenter_pixels	clear	clear	drop_owner	rebuild	clear	rebuild	rebuild	rebuild	drop_owner	drop_owner
window_shadow_layers	na	na	drop_owner	na	na	rebuild	na	na	drop_owner	drop_owner
window_titlebar_rasters	retain	clear	drop_owner	reconcile	reconcile	clear	retain	clear	replace	drop_owner
compositor_output_backgrounds	retain	clear	drop_owner	rebuild	drop_owner	clear	na	na	drop_owner	drop_owner
compositor_cursor_buffers	retain	clear	drop_owner	retain	retain	clear	na	clear	drop_owner	drop_owner
compositor_frame_action_icons	retain	clear	drop_owner	retain	retain	clear	na	clear	drop_owner	drop_owner
compositor_identify_badges	clear	clear	drop_owner	rebuild	drop_owner	retain	na	na	drop_owner	drop_owner
smithay_renderer_internal_caches	retain	clear	drop_owner	reconcile	reconcile	reconcile	na	reconcile	drop_owner	drop_owner
cosmic_text_font_systems	retain	clear	drop_owner	retain	retain	retain	clear	clear	drop_owner	drop_owner
launcher_icons	retain	clear	drop_owner	retain	retain	clear	retain	retain	replace	drop_owner
wallpaper_pixels	retain	clear	drop_owner	rebuild	clear	retain	na	na	replace	drop_owner
tray_pixmaps	retain	clear	drop_owner	reconcile	reconcile	retain	na	na	replace	drop_owner
markdown_loaded_source	retain	clear	drop_owner	retain	retain	retain	clear	clear	replace	drop_owner
markdown_load_workers	retain	clear	drop_owner	retain	retain	retain	retain	retain	replace	drop_owner
window_preview_pixels	clear	clear	drop_owner	rebuild	clear	retain	na	na	replace	drop_owner
codex_height_estimates	retain	clear	drop_owner	retain	retain	rebuild	rebuild	rebuild	replace	drop_owner
codex_item_index	retain	clear	drop_owner	retain	retain	retain	retain	retain	replace	drop_owner
codex_selection_runs	retain	clear	drop_owner	retain	retain	rebuild	rebuild	rebuild	replace	drop_owner
codex_selection_document	retain	clear	drop_owner	retain	retain	rebuild	rebuild	rebuild	replace	drop_owner
